Country Name,Country Code,Human Capital Index
Afghanistan,AFG,0.400284141302109
Angola,AGO,0.362405389547348
Albania,ALB,0.634250938892365
United Arab Emirates,ARE,0.673011898994446
Argentina,ARG,0.602144718170166
Armenia,ARM,0.578998804092407
Antigua and Barbuda,ATG,0.595703899860382
Australia,AUS,0.770239531993866
Austria,AUT,0.746739745140076
Azerbaijan,AZE,0.577767550945282
Burundi,BDI,0.386170625686646
Belgium,BEL,0.76041966676712
Benin,BEN,0.400290727615356
Burkina Faso,BFA,0.383691936731339
Bangladesh,BGD,0.46403643488884
Bulgaria,BGR,0.613898158073425
Bahrain,BHR,0.652472019195557
Bosnia and Herzegovina,BIH,0.57968407869339
Belarus,BLR,0.700078189373016
Brazil,BRA,0.551497936248779
Brunei Darussalam,BRN,0.626391351222992
Bhutan,BTN,0.475297033786774
Botswana,BWA,0.414028495550156
Central African Republic,CAF,0.291631907224655
Canada,CAN,0.797520101070404
Switzerland,CHE,0.756115138530731
Chile,CHL,0.651604175567627
China,CHN,0.65310263633728
Cote d'Ivoire,CIV,0.379889339208603
Cameroon,CMR,0.397401511669159
"Congo, Dem. Rep.",COD,0.366369277238846
"Congo, Rep.",COG,0.41926571726799
Colombia,COL,0.60433030128479
Comoros,COM,0.40468829870224
Costa Rica,CRI,0.628635048866272
Cyprus,CYP,0.755520224571228
Czechia,CZE,0.752257406711578
Germany,DEU,0.751162469387054
Dominica,DMA,0.544749319553375
Denmark,DNK,0.755094826221466
Dominican Republic,DOM,0.502766907215118
Algeria,DZA,0.534556448459625
Ecuador,ECU,0.594254851341248
"Egypt, Arab Rep.",EGY,0.494374662637711
Spain,ESP,0.728255033493042
Estonia,EST,0.77720320224762
Ethiopia,ETH,0.382784843444824
Finland,FIN,0.796001017093658
Fiji,FJI,0.508573293685913
France,FRA,0.762737214565277
"Micronesia, Fed. Sts.",FSM,0.505966544151306
Gabon,GAB,0.457612454891205
United Kingdom,GBR,0.782942950725555
Georgia,GEO,0.568925797939301
Ghana,GHA,0.450056403875351
Guinea,GIN,0.37094247341156
"Gambia, The",GMB,0.421570628881455
Greece,GRC,0.690006494522095
Grenada,GRD,0.565070509910584
Guatemala,GTM,0.461270093917847
Guyana,GUY,0.495226472616196
"Hong Kong SAR, China",HKG,0.812756538391113
Honduras,HND,0.481023132801056
Croatia,HRV,0.709693968296051
Haiti,HTI,0.446564912796021
Hungary,HUN,0.683087289333344
Indonesia,IDN,0.540038466453552
India,IND,0.493510901927948
Ireland,IRL,0.792599022388458
"Iran, Islamic Rep.",IRN,0.593404471874237
Iraq,IRQ,0.407643288373947
Iceland,ISL,0.745281875133514
Israel,ISR,0.733995318412781
Italy,ITA,0.727819681167603
Jamaica,JAM,0.534977912902832
Jordan,JOR,0.553174376487732
Japan,JPN,0.804714262485504
Kazakhstan,KAZ,0.628506422042847
Kenya,KEN,0.546752512454987
Kyrgyz Republic,KGZ,0.596617102622986
Cambodia,KHM,0.491589874029159
Kiribati,KIR,0.492592930793762
St. Kitts and Nevis,KNA,0.586181640625
"Korea, Rep.",KOR,0.798776268959045
Kuwait,KWT,0.562588036060333
Lao PDR,LAO,0.456665337085724
Lebanon,LBN,0.515125513076782
Liberia,LBR,0.319014221429825
St. Lucia,LCA,0.602564752101898
Sri Lanka,LKA,0.598324298858643
Lesotho,LSO,0.400392591953278
Lithuania,LTU,0.70604795217514
Luxembourg,LUX,0.686146140098572
Latvia,LVA,0.70658141374588
"Macao SAR, China",MAC,0.795671582221985
Morocco,MAR,0.504116356372833
Moldova,MDA,0.584153532981873
Madagascar,MDG,0.391991019248962
Mexico,MEX,0.612949848175049
Marshall Islands,MHL,0.42339813709259
North Macedonia,MKD,0.55734920501709
Mali,MLI,0.318269580602646
Malta,MLT,0.709248304367065
Myanmar,MMR,0.477652013301849
Montenegro,MNE,0.633181810379028
Mongolia,MNG,0.614397525787354
Mozambique,MOZ,0.362116664648056
Mauritania,MRT,0.381546080112457
Mauritius,MUS,0.62185925245285
Malawi,MWI,0.413240641355515
Malaysia,MYS,0.610976159572601
Namibia,NAM,0.446437537670136
Niger,NER,0.31568518280983
Nigeria,NGA,0.360609829425812
Nicaragua,NIC,0.508098244667053
Netherlands,NLD,0.789915025234222
Norway,NOR,0.771051168441772
Nepal,NPL,0.504601776599884
Nauru,NRU,0.50841212272644
New Zealand,NZL,0.775932431221008
Oman,OMN,0.608116269111633
Pakistan,PAK,0.406070023775101
Panama,PAN,0.501601994037628
Peru,PER,0.6051926612854
Philippines,PHL,0.51596212387085
Palau,PLW,0.588113486766815
Papua New Guinea,PNG,0.429185003042221
Poland,POL,0.753088593482971
Portugal,PRT,0.768949568271637
Paraguay,PRY,0.528180062770844
West Bank and Gaza,PSE,0.579996645450592
Qatar,QAT,0.637771606445313
Romania,ROU,0.584187865257263
Russian Federation,RUS,0.681419610977173
Rwanda,RWA,0.379552751779556
Saudi Arabia,SAU,0.576390504837036
Sudan,SDN,0.377445191144943
Senegal,SEN,0.420110791921616
Singapore,SGP,0.879125714302063
Solomon Islands,SLB,0.419872611761093
Sierra Leone,SLE,0.36270210146904
El Salvador,SLV,0.546176612377167
Serbia,SRB,0.676606357097626
South Sudan,SSD,0.306520849466324
Slovak Republic,SVK,0.664987325668335
Slovenia,SVN,0.774986982345581
Sweden,SWE,0.79535710811615
Eswatini,SWZ,0.37250080704689
Seychelles,SYC,0.632779061794281
Chad,TCD,0.299782782793045
Togo,TGO,0.431868046522141
Thailand,THA,0.609310984611511
Tajikistan,TJK,0.504116356372833
Timor-Leste,TLS,0.454314529895783
Tonga,TON,0.531120657920837
Trinidad and Tobago,TTO,0.603487730026245
Tunisia,TUN,0.516809940338135
Turkiye,TUR,0.649261832237244
Tuvalu,TUV,0.447577118873596
Tanzania,TZA,0.389834702014923
Uganda,UGA,0.384176582098007
Ukraine,UKR,0.631387114524841
Uruguay,URY,0.59876024723053
United States,USA,0.701764345169067
Uzbekistan,UZB,0.622805714607239
St. Vincent and the Grenadines,VCT,0.533341825008392
Vietnam,VNM,0.689964532852173
Vanuatu,VUT,0.454658538103104
Samoa,WSM,0.548421680927277
Kosovo,XKX,0.567331731319427
"Yemen, Rep.",YEM,0.372784405946732
South Africa,ZAF,0.425453394651413
Zambia,ZMB,0.396927535533905
Zimbabwe,ZWE,0.46689310669899
